14:31:59:851|10524 |FAILURE             |database_*le_util.py|tbl_query                                         |      |                              |                              |                    |[('msg', 'unable to execute query [select st.sStudentFirstNm, st.sStudentLastNm, st.idStudent, stl.idPrep, pc.sPrepNm from Student st, StudentLevel stl, PrepCode pc where st.idStudent = 70 and st.cdRowStatus = "act" and st.idStudent = stl.idStudent and stl.cdRowStatus = "act" and stl.idAcadPeriod = 1 and stl.idPrep = pc.idPrep and pc.cdRowStatus = "act" ] in db [C:\\Users\\burtnolej\\Documents\\GitHub\\quadviewer\\app\\quad\\utils\\test_misc\\QuadQA.db.sqlite] [no such table: Student]')]|249  
09:12:57:718|SUCCESS   |                              |tbl_rows_insert               |database_*le_util.py|inserted [2] into table [Student] in db [C:\Users\burtnolej\Documents\GitHub\quadviewer\app\quad\utils\test_misc\QuadQA.db.sqlite]|300418  
09:12:57:797|SUCCESS   |                              |tbl_rows_insert               |database_*le_util.py|inserted [2] into table [StudentLevel] in db [C:\Users\burtnolej\Documents\GitHub\quadviewer\app\quad\utils\test_misc\QuadQA.db.sqlite]|300418  
09:21:35:973|SUCCESS   |                              |tbl_rows_insert               |database_*le_util.py|inserted [2] into table [Student] in db [C:\Users\burtnolej\Documents\GitHub\quadviewer\app\quad\utils\test_misc\QuadQA.db.sqlite]|300418  
09:21:36:12 |SUCCESS   |                              |tbl_rows_insert               |database_*le_util.py|inserted [2] into table [StudentLevel] in db [C:\Users\burtnolej\Documents\GitHub\quadviewer\app\quad\utils\test_misc\QuadQA.db.sqlite]|300418  
09:24:28:10 |FAILURE   |                              |tbl_rows_insert               |database_*le_util.py|unable to insert [2] rows into table [Student] in db [C:\Users\burtnolej\Documents\GitHub\quadviewer\app\quad\utils\test_misc\QuadQA.db.sqlite] [UNIQUE constraint failed: Student.idStudent, Student.cdRowStatus]|300418  
09:24:28:31 |FAILURE   |                              |tbl_rows_insert               |database_*le_util.py|unable to insert [2] rows into table [StudentLevel] in db [C:\Users\burtnolej\Documents\GitHub\quadviewer\app\quad\utils\test_misc\QuadQA.db.sqlite] [UNIQUE constraint failed: StudentLevel.idStudent, StudentLevel.idAcadPeriod, StudentLevel.cdRowStatus]|300418  
09:24:57:780|FAILURE   |                              |tbl_rows_insert               |database_*le_util.py|unable to insert [2] rows into table [Student] in db [C:\Users\burtnolej\Documents\GitHub\quadviewer\app\quad\utils\test_misc\QuadQA.db.sqlite] [UNIQUE constraint failed: Student.idStudent, Student.cdRowStatus]|300418  
09:24:57:819|FAILURE   |                              |tbl_rows_insert               |database_*le_util.py|unable to insert [2] rows into table [StudentLevel] in db [C:\Users\burtnolej\Documents\GitHub\quadviewer\app\quad\utils\test_misc\QuadQA.db.sqlite] [UNIQUE constraint failed: StudentLevel.idStudent, StudentLevel.idAcadPeriod, StudentLevel.cdRowStatus]|300418  
09:25:30:614|SUCCESS   |                              |tbl_rows_insert               |database_*le_util.py|inserted [2] into table [Student] in db [C:\Users\burtnolej\Documents\GitHub\quadviewer\app\quad\utils\test_misc\QuadQA.db.sqlite]|300418  
09:25:30:660|FAILURE   |                              |tbl_rows_insert               |database_*le_util.py|unable to insert [2] rows into table [StudentLevel] in db [C:\Users\burtnolej\Documents\GitHub\quadviewer\app\quad\utils\test_misc\QuadQA.db.sqlite] [UNIQUE constraint failed: StudentLevel.idStudent, StudentLevel.idAcadPeriod, StudentLevel.cdRowStatus]|300418  
09:26:08:554|SUCCESS   |                              |tbl_rows_insert               |database_*le_util.py|inserted [2] into table [Student] in db [C:\Users\burtnolej\Documents\GitHub\quadviewer\app\quad\utils\test_misc\QuadQA.db.sqlite]|300418  
09:26:08:601|FAILURE   |                              |tbl_rows_insert               |database_*le_util.py|unable to insert [2] rows into table [StudentLevel] in db [C:\Users\burtnolej\Documents\GitHub\quadviewer\app\quad\utils\test_misc\QuadQA.db.sqlite] [UNIQUE constraint failed: StudentLevel.idStudent, StudentLevel.idAcadPeriod, StudentLevel.cdRowStatus]|300418  
09:26:32:23 |SUCCESS   |                              |tbl_rows_insert               |database_*le_util.py|inserted [2] into table [Student] in db [C:\Users\burtnolej\Documents\GitHub\quadviewer\app\quad\utils\test_misc\QuadQA.db.sqlite]|300418  
09:26:32:51 |SUCCESS   |                              |tbl_rows_insert               |database_*le_util.py|inserted [2] into table [StudentLevel] in db [C:\Users\burtnolej\Documents\GitHub\quadviewer\app\quad\utils\test_misc\QuadQA.db.sqlite]|300418  
